=== TensorRT-LLM Comprehensive Test Results Summary ===
Start Time: Fri Jul 11 04:27:26 UTC 2025

ISL,OSL,Requests,Throughput(tokens/sec),Latency(ms),Status
128,128,30000,14389.7989,266855.7100,SUCCESS
128,256,20000,17602.0571,290875.0935,SUCCESS
128,512,15000,19327.0773,397369.9631,SUCCESS
128,1024,7500,19787.6318,388121.2295,SUCCESS
128,2048,3000,16901.8790,363509.8785,SUCCESS
128,4096,1500,12427.8444,494373.7486,SUCCESS
128,8192,750,7944.3036,773384.3421,SUCCESS
128,16384,400,4557.7445,1437904.2065,SUCCESS
256,128,20000,10269.1929,249289.3078,SUCCESS
256,256,15000,13933.3531,275597.6961,SUCCESS
256,512,10000,16891.9057,303103.7524,SUCCESS
256,1024,6000,18340.1119,335003.4077,SUCCESS
256,2048,2500,15457.6309,331227.9896,SUCCESS
256,4096,1200,11022.7219,445915.2709,SUCCESS
256,8192,600,6972.8301,704907.4704,SUCCESS
256,16384,300,4591.1936,1070571.2711,SUCCESS
512,128,15000,6393.6937,300295.9008,SUCCESS
512,256,10000,9880.3580,259099.9222,SUCCESS
512,512,7500,13240.2682,290024.3372,SUCCESS
512,1024,5000,15348.7925,333576.7286,SUCCESS
512,2048,2000,14769.9081,277320.6148,SUCCESS
512,4096,1000,11587.5074,353484.1338,SUCCESS
512,8192,500,7689.5655,532669.8877,SUCCESS
512,16384,250,4308.2491,950734.2559,SUCCESS
1024,128,7500,3575.3588,268504.5182,SUCCESS
1024,256,6000,6122.1106,250893.8668,SUCCESS
1024,512,5000,9151.6986,279729.4934,SUCCESS
1024,1024,3000,10893.8728,281993.3779,SUCCESS
1024,2048,1500,11168.3798,275062.2790,SUCCESS
1024,4096,800,9328.1862,351279.4360,SUCCESS
1024,8192,400,6342.7037,516625.1093,SUCCESS
1024,16384,200,3919.0053,836130.5389,SUCCESS
2048,128,3000,1899.9652,202108.9671,SUCCESS
2048,256,2500,3384.8812,189076.0602,SUCCESS
2048,512,2000,5476.9319,186965.9893,SUCCESS
2048,1024,1500,7338.2404,209314.4823,SUCCESS
2048,2048,1500,8686.7633,353641.4981,SUCCESS
2048,4096,750,7824.0645,392634.7979,SUCCESS
2048,8192,400,5877.8341,557484.2653,SUCCESS
2048,16384,200,3723.6042,880007.5924,SUCCESS
4096,128,1500,969.2499,198091.3220,SUCCESS
4096,256,1200,1777.0350,172872.2273,SUCCESS
4096,512,1000,3018.6328,169613.2124,SUCCESS
4096,1024,800,4391.1951,186555.1358,SUCCESS
4096,2048,750,5565.0000,276010.7794,SUCCESS
4096,4096,400,5220.4238,313844.2505,SUCCESS
4096,8192,200,5168.4167,317002.3036,SUCCESS
4096,16384,100,3398.8834,482040.6671,SUCCESS
8192,128,750,476.9840,201264.5916,SUCCESS
8192,256,600,899.6148,170739.7354,SUCCESS
8192,512,500,1565.9897,163474.8891,SUCCESS
8192,1024,400,2379.9472,172104.6606,SUCCESS
8192,2048,400,3259.0559,251361.1344,SUCCESS
8192,4096,200,3887.4343,210730.2519,SUCCESS
8192,8192,150,3565.5170,344634.4570,SUCCESS
8192,16384,75,2530.3923,485616.3981,SUCCESS
16384,128,400,230.4083,222214.2509,SUCCESS
16384,256,300,438.7363,175048.1827,SUCCESS
16384,512,250,774.3481,165300.3285,SUCCESS
16384,1024,200,1224.7921,167212.0584,SUCCESS
16384,2048,200,1747.7723,234355.4711,SUCCESS
16384,4096,100,2149.8552,190524.4592,SUCCESS
16384,8192,75,2089.9738,293974.9817,SUCCESS
16384,16384,50,FAILED,FAILED,Benchmark Failed
