ISL,OSL,Requests,Token_Throughput,Request_Throughput,Avg_Input_Len,Avg_Output_Len
1024,1024,3000,10893.8728,10.6385,1024.0000,1024.0000
1024,128,7500,3575.3588,27.9325,1024.0000,128.0000
1024,16384,200,3919.0053,0.2392,1024.0000,16384.0000
1024,2048,1500,11168.3798,5.4533,1024.0000,2048.0000
1024,256,6000,6122.1106,23.9145,1024.0000,256.0000
1024,4096,800,9328.1862,2.2774,1024.0000,4096.0000
1024,512,5000,9151.6986,17.8744,1024.0000,512.0000
1024,8192,400,6342.7037,0.7743,1024.0000,8192.0000
128,1024,7500,19787.6318,19.3239,128.0000,1024.0000
128,128,30000,14389.7989,112.4203,128.0000,128.0000
128,16384,400,4557.7445,0.2782,128.0000,16384.0000
128,2048,3000,16901.8790,8.2529,128.0000,2048.0000
128,256,20000,17602.0571,68.7580,128.0000,256.0000
128,4096,1500,12427.8444,3.0341,128.0000,4096.0000
128,512,15000,19327.0773,37.7482,128.0000,512.0000
128,8192,750,7944.3036,0.9698,128.0000,8192.0000
16384,1024,200,1224.7921,1.1961,16384.0000,1024.0000
16384,128,400,230.4083,1.8001,16384.0000,128.0000
16384,2048,200,1747.7723,0.8534,16384.0000,2048.0000
16384,256,300,438.7363,1.7138,16384.0000,256.0000
16384,4096,100,2149.8552,0.5249,16384.0000,4096.0000
16384,512,250,774.3481,1.5124,16384.0000,512.0000
16384,8192,75,2089.9738,0.2551,16384.0000,8192.0000
2048,1024,1500,7338.2404,7.1663,2048.0000,1024.0000
2048,128,3000,1899.9652,14.8435,2048.0000,128.0000
2048,16384,200,3723.6042,0.2273,2048.0000,16384.0000
2048,2048,1500,8686.7633,4.2416,2048.0000,2048.0000
2048,256,2500,3384.8812,13.2222,2048.0000,256.0000
2048,4096,750,7824.0645,1.9102,2048.0000,4096.0000
2048,512,2000,5476.9319,10.6971,2048.0000,512.0000
2048,8192,400,5877.8341,0.7175,2048.0000,8192.0000
256,1024,6000,18340.1119,17.9103,256.0000,1024.0000
256,128,20000,10269.1929,80.2281,256.0000,128.0000
256,16384,300,4591.1936,0.2802,256.0000,16384.0000
256,2048,2500,15457.6309,7.5477,256.0000,2048.0000
256,256,15000,13933.3531,54.4272,256.0000,256.0000
256,4096,1200,11022.7219,2.6911,256.0000,4096.0000
256,512,10000,16891.9057,32.9920,256.0000,512.0000
256,8192,600,6972.8301,0.8512,256.0000,8192.0000
4096,1024,800,4391.1951,4.2883,4096.0000,1024.0000
4096,128,1500,969.2499,7.5723,4096.0000,128.0000
4096,16384,100,3398.8834,0.2075,4096.0000,16384.0000
4096,2048,750,5565.0000,2.7173,4096.0000,2048.0000
4096,256,1200,1777.0350,6.9415,4096.0000,256.0000
4096,4096,400,5220.4238,1.2745,4096.0000,4096.0000
4096,512,1000,3018.6328,5.8958,4096.0000,512.0000
4096,8192,200,5168.4167,0.6309,4096.0000,8192.0000
512,1024,5000,15348.7925,14.9891,512.0000,1024.0000
512,128,15000,6393.6937,49.9507,512.0000,128.0000
512,16384,250,4308.2491,0.2630,512.0000,16384.0000
512,2048,2000,14769.9081,7.2119,512.0000,2048.0000
512,256,10000,9880.3580,38.5951,512.0000,256.0000
512,4096,1000,11587.5074,2.8290,512.0000,4096.0000
512,512,7500,13240.2682,25.8599,512.0000,512.0000
512,8192,500,7689.5655,0.9387,512.0000,8192.0000
8192,1024,400,2379.9472,2.3242,8192.0000,1024.0000
8192,128,750,476.9840,3.7264,8192.0000,128.0000
8192,16384,75,2530.3923,0.1544,8192.0000,16384.0000
8192,2048,400,3259.0559,1.5913,8192.0000,2048.0000
8192,256,600,899.6148,3.5141,8192.0000,256.0000
8192,4096,200,3887.4343,0.9491,8192.0000,4096.0000
8192,512,500,1565.9897,3.0586,8192.0000,512.0000
8192,8192,150,3565.5170,0.4352,8192.0000,8192.0000
